id,vname,query,duration,gt_s,gt_e,pred_s,pred_e,iou
0,v_QOlSCBRmfWY.mp4,"""A young woman is seen standing in a room and leads into her dancing.""",82.73,0.83,19.86,23.4,34.6,0.0
1,v_QOlSCBRmfWY.mp4,""" The girl dances around the room while the camera captures her movements.""",82.73,17.37,60.81,33.7,51.4,0.40745856353591153
2,v_QOlSCBRmfWY.mp4,""" She continues dancing around the room and ends by laying on the floor.""",82.73,56.26,79.42,45.5,70.8,0.4286556603773584
3,v_ehGHCYKzyZ8.mp4,"""The video starts with a title logo sequence.""",61.72,0,2.78,34.1,53.4,0.0
4,v_ehGHCYKzyZ8.mp4,""" A man and woman are in a living room demonstrating exercises.""",61.72,3.09,61.72,0.0,24.9,0.35337005832793256
5,v_ehGHCYKzyZ8.mp4,""" The woman lays on the ground.""",61.72,15.43,55.24,10.7,35.9,0.45958688819039056
6,v_ehGHCYKzyZ8.mp4,""" The man starts pointing to different areas of the woman's body as she does an exercise.""",61.72,17.59,54,18.6,32.5,0.38176325185388627
7,v_ehGHCYKzyZ8.mp4,""" The woman begins to do small sit ups.""",61.72,39.81,54.62,20.8,30.0,0.0
8,v_ehGHCYKzyZ8.mp4,""" The woman ends with a final title logo sequence.""",61.72,56.47,61.72,25.1,41.8,0.0
9,v_nwznKOuZM7w.mp4,"""Two people are seen moving around a kitchen quickly performing various tasks and sitting down.""",31.65,0,15.51,19.6,28.3,0.0
10,v_nwznKOuZM7w.mp4,""" They then wax down a ski in the kitchen while continuing to move around.""",31.65,11.39,31.65,13.2,27.9,0.7255676209279368
11,v_ogQozSI5V8U.mp4,"""We see a hallway with a wooden floor.""",36.55,0,7.49,18.9,31.9,0.0
12,v_ogQozSI5V8U.mp4,""" A dog in socks walks slowly out onto the floor as a lady films him.""",36.55,7.49,18.09,16.6,31.7,0.061544816191656276
13,v_ogQozSI5V8U.mp4,""" The dog turns around and goes back to the other room.""",36.55,19.37,36.55,22.3,34.8,0.7275902211874272
14,v_69IsHpmRyfk.mp4,"""A young girl is seen sitting in a chair with a person standing next to her.""",94.72,1.89,31.26,47.0,83.3,0.0
15,v_69IsHpmRyfk.mp4,""" The person next to her then piercing one ear followed by the other.""",94.72,29.36,71.51,17.2,47.3,0.3303259068311544
16,v_69IsHpmRyfk.mp4,""" The person rubs lotion on the piercings afterwards.""",94.72,55.41,91.4,25.1,39.0,0.0
17,v_D18b2IZpxk0.mp4,"""A woman is shown riding a camel past pyramids in Egypt.""",95.67,0,17.7,34.7,48.8,0.0
18,v_D18b2IZpxk0.mp4,""" The camel walks as the woman leans forward.""",95.67,19.61,88.01,0.0,19.4,0.0
19,v_D18b2IZpxk0.mp4,""" And hand covers the lens as the harness is shown.""",95.67,90.88,95.67,35.8,47.8,0.0
20,v_pizl41xmw7k.mp4,"""A child mops the floor of a hallway in a house.""",172.07999999999998,0,85.18,0.0,10.9,0.1279643108710965
21,v_pizl41xmw7k.mp4,""" The child sets the mop down and plays with her family member.""",172.07999999999998,27.53,43.02,23.7,48.6,0.6220883534136546
22,v_pizl41xmw7k.mp4,""" The child walks into the bedroom area and continues to mop the floor.""",172.07999999999998,86.04,168.64,59.6,77.3,0.0
23,v_fzp5ooc727c.mp4,"""Two lines of young men are walking side by side down a road.""",148.32,0,14.83,3.5,42.5,0.2665882352941176
24,v_fzp5ooc727c.mp4,"""Then one man stands in a field holding a wooden object and begins twisting it.""",148.32,15.57,32.63,0.0,39.0,0.4374358974358975
25,v_fzp5ooc727c.mp4,"""He then bends down and grabs a ball.""",148.32,32.63,44.5,15.3,35.5,0.09828767123287663
26,v_fzp5ooc727c.mp4,"""After,the ball is placed on the ground and he picks it up and hits it as if he's playing baseball.""",148.32,44.5,65.26,29.3,39.0,0.0
27,v_fzp5ooc727c.mp4,"""The ball is thrown back and he its it again.""",148.32,66.74,72.68,45.6,62.3,0.0
28,v_fzp5ooc727c.mp4,"""Shortly after, a field of men are shown and they begin playing a game against one another.""",148.32,74.16,107.53,106.4,129.5,0.02041922659920483
29,v_fzp5ooc727c.mp4,"""There was a penalty and one players attempts to hit the ball into the goal from the side.""",148.32,106.05,130.52,29.9,47.8,0.0
30,v_fzp5ooc727c.mp4,"""After,everyone is pictured lying down on the ground as if they are dead but one person begins to sit up but gets hit in the head by the ball and lays back down.""",148.32,129.78,137.94,63.6,89.5,0.0
31,v_fzp5ooc727c.mp4,"""Lastly,the screen flashes to a black screen and the words The End are shown.""",148.32,137.94,148.32,15.0,34.4,0.0
32,v_LNKdVrX_0Fg.mp4,"""A woman wearing overalls is talking to the camera.""",226.72,0,22.67,20.8,30.0,0.062333333333333366
33,v_LNKdVrX_0Fg.mp4,""" She lays out wrapping paper, showing how to wrap a toy in it.""",226.72,22.67,179.11,56.5,188.8,0.738036477457413
34,v_LNKdVrX_0Fg.mp4,""" She wraps it around the toy, then tapes it up.""",226.72,182.51,226.72,27.4,68.4,0.0
35,v_IoiDAHNryTk.mp4,"""A girl is seen climbing across a set of monkey bars followed by her waving to the camera.""",47.04,0,19.29,13.4,21.8,0.27018348623853206
36,v_IoiDAHNryTk.mp4,""" She climbs her way back on the bars and jumps down mid way through.""",47.04,19.99,47.04,0.0,16.9,0.0
